Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2019-02-04,2019-03-05,1100,41,3.727272727272727,1059,4228,1085,770,2373,26.463414634146343,0.7271010387157696,2.6603139013452917
2019-02-05,2019-03-06,1119,45,4.021447721179625,1074,4236,1130,633,2473,25.11111111111111,0.5893854748603352,2.6059009483667017
2019-02-06,2019-03-07,1118,44,3.9355992844364938,1074,4201,1134,619,2448,25.772727272727273,0.5763500931098696,2.587737843551797
2019-02-07,2019-03-08,1109,38,3.426510369702435,1071,4117,1032,701,2384,27.157894736842106,0.6545284780578898,2.6226622662266226
2019-02-08,2019-03-09,1065,38,3.568075117370892,1027,3922,1029,694,2199,27.07894736842105,0.6757546251217137,2.5659276546091014
2019-02-09,2019-03-10,1051,35,3.330161750713606,1016,3882,984,707,2191,28.114285714285714,0.6958661417322834,2.595971563981043
2019-02-10,2019-03-11,1059,39,3.68271954674221,1020,3938,1045,672,2221,26.794871794871796,0.6588235294117647,2.582558139534884
2019-02-11,2019-03-12,1068,39,3.651685393258427,1029,3983,1047,679,2257,26.846153846153847,0.6598639455782312,2.62137049941928
2019-02-12,2019-03-13,1056,40,3.787878787878788,1016,4003,1098,669,2236,27.45,0.6584645669291339,2.6121495327102804
2019-02-13,2019-03-14,1054,38,3.6053130929791273,1016,3973,1069,661,2243,28.13157894736842,0.6505905511811023,2.623391812865497
2019-02-14,2019-03-15,1089,44,4.040404040404041,1045,4127,1211,593,2323,27.522727272727273,0.5674641148325359,2.5782463928967814
2019-02-15,2019-03-16,1104,44,3.9855072463768115,1060,4188,1217,577,2394,27.65909090909091,0.5443396226415095,2.5686695278969958
2019-02-16,2019-03-17,1115,44,3.9461883408071747,1071,4197,1217,592,2388,27.65909090909091,0.5527544351073763,2.5458422174840085
2019-02-17,2019-03-18,1132,44,3.8869257950530036,1088,4267,1215,617,2435,27.613636363636363,0.5670955882352942,2.5577731092436973
2019-02-18,2019-03-19,1153,45,3.9028620988725065,1108,4407,1243,647,2517,27.622222222222224,0.5839350180505415,2.5895061728395063
2019-02-19,2019-03-20,1152,47,4.079861111111111,1105,4455,1268,600,2587,26.97872340425532,0.5429864253393665,2.6184210526315788
2019-02-20,2019-03-21,1180,46,3.8983050847457625,1134,4553,1273,651,2629,27.67391304347826,0.5740740740740741,2.63691073219659
2019-02-21,2019-03-22,1201,47,3.913405495420483,1154,4557,1257,660,2640,26.74468085106383,0.5719237435008665,2.6112759643916914
2019-02-22,2019-03-23,1197,44,3.6758563074352546,1153,4485,1150,699,2636,26.136363636363637,0.606244579358196,2.6545820745216515
2019-02-23,2019-03-24,1131,44,3.890362511052166,1087,4310,1121,675,2514,25.477272727272727,0.6209751609935602,2.703225806451613
2019-02-24,2019-03-25,1117,44,3.9391226499552374,1073,4281,1123,658,2500,25.522727272727273,0.6132339235787512,2.720348204570185
2019-02-25,2019-03-26,1097,42,3.828623518687329,1055,4160,1090,651,2419,25.952380952380953,0.6170616113744076,2.6818181818181817
2019-02-26,2019-03-27,1097,45,4.102096627164995,1052,4142,1112,597,2433,24.711111111111112,0.5674904942965779,2.6416938110749184
2019-02-27,2019-03-28,1095,45,4.109589041095891,1050,4147,1123,588,2436,24.955555555555556,0.56,2.6420824295010847
2019-02-28,2019-03-29,1097,43,3.919781221513218,1054,4159,1100,620,2439,25.58139534883721,0.5882352941176471,2.6482084690553744
2019-03-01,2019-03-30,1101,47,4.268846503178929,1054,4151,1219,537,2395,25.93617021276596,0.5094876660341556,2.569742489270386
2019-03-02,2019-03-31,1080,47,4.351851851851852,1033,4074,1189,530,2355,25.29787234042553,0.5130687318489835,2.5737704918032787
2019-03-03,2019-04-01,1109,45,4.057709648331831,1064,4107,1165,579,2363,25.88888888888889,0.5441729323308271,2.532690246516613
2019-03-04,2019-04-02,1102,49,4.4464609800362975,1053,4049,1231,537,2281,25.122448979591837,0.50997150997151,2.4579741379310347
2019-03-05,2019-04-03,1137,49,4.309586631486368,1088,4125,1251,561,2313,25.53061224489796,0.515625,2.4373024236037937
2019-03-06,2019-04-04,1133,48,4.236540158870256,1085,4093,1198,588,2307,24.958333333333332,0.5419354838709678,2.4516471838469713
2019-03-07,2019-04-05,1102,47,4.26497277676951,1055,4018,1169,582,2267,24.872340425531913,0.5516587677725119,2.4748908296943233
2019-03-08,2019-04-06,1113,48,4.3126684636118595,1065,3983,1161,584,2238,24.1875,0.5483568075117371,2.4326086956521737
2019-03-09,2019-04-07,1112,44,3.9568345323741005,1068,4069,1106,633,2330,25.136363636363637,0.5926966292134831,2.5353645266594125
2019-03-10,2019-04-08,1115,48,4.304932735426009,1067,4075,1196,586,2293,24.916666666666668,0.549203373945642,2.470905172413793
2019-03-11,2019-04-09,1133,48,4.236540158870256,1085,4145,1200,626,2319,25.0,0.5769585253456221,2.4591728525980914
2019-03-12,2019-04-10,1136,52,4.577464788732394,1084,4133,1266,551,2316,24.346153846153847,0.5083025830258303,2.4175365344467643
2019-03-13,2019-04-11,1139,52,4.565408252853381,1087,4141,1250,570,2321,24.03846153846154,0.5243790248390064,2.4278242677824267
2019-03-14,2019-04-12,1150,49,4.260869565217392,1101,4208,1216,639,2353,24.816326530612244,0.5803814713896458,2.4535974973931176
2019-03-15,2019-04-13,1140,49,4.298245614035087,1091,4192,1223,652,2317,24.959183673469386,0.5976168652612283,2.449260042283298
2019-03-16,2019-04-14,1129,46,4.0744021257750225,1083,4078,1112,709,2257,24.17391304347826,0.65466297322253,2.461286804798255
